ANZSCOUnit,ANZSCOUnitCode,essential_v_non
Professionals,2000,0
Arts and Media Professionals,2100,0
Arts Professionals,2110,0
"Actors, Dancers and Other Entertainers",2111,0
Music Professionals,2112,0
Photographers,2113,0
Visual Arts and Crafts Professionals,2114,0
Media Professionals,2120,0
"Artistic Directors, and Media Producers and Presenters",2121,0
"Authors, and Book and Script Editors",2122,0
"Film, Television, Radio and Stage Directors",2123,0
Journalists and Other Writers,2124,1
"Business, Human Resource and Marketing Professionals",2200,0
"Accountants, Auditors and Company Secretaries",2210,1
Accountants,2211,1
"Auditors, Company Secretaries and Corporate Treasurers",2212,0
"Financial Brokers and Dealers, and Investment Advisers",2220,1
Financial Brokers,2221,1
Financial Dealers,2222,0
Financial Investment Advisers and Managers,2223,0
Human Resource and Training Professionals,2230,0
Human Resource Professionals,2231,0
ICT Trainers,2232,0
Training and Development Professionals,2233,0
Information and Organisation Professionals,2240,1
"Actuaries, Mathematicians and Statisticians",2241,1
"Archivists, Curators and Records Managers",2242,0
Economists,2243,0
Intelligence and Policy Analysts,2244,0
Land Economists and Valuers,2245,0
Librarians,2246,0
Management and Organisation Analysts,2247,0
Other Information and Organisation Professionals,2249,0
"Sales, Marketing and Public Relations Professionals",2250,0
Advertising and Marketing Professionals,2251,0
ICT Sales Professionals,2252,0
Public Relations Professionals,2253,0
Technical Sales Representatives,2254,0
"Design, Engineering, Science and Transport Professionals",2300,0
Air and Marine Transport Professionals,2310,0
Air Transport Professionals,2311,0
Marine Transport Professionals,2312,0
"Architects, Designers, Planners and Surveyors",2320,0
Architects and Landscape Architects,2321,0
Surveyors and Spatial Scientists,2322,0
"Fashion, Industrial and Jewellery Designers",2323,0
"Graphic and Web Designers, and Illustrators",2324,0
Interior Designers,2325,0
Urban and Regional Planners,2326,1
Engineering Professionals,2330,1
Chemical and Materials Engineers,2331,0
Civil Engineering Professionals,2332,1
Electrical Engineers,2333,0
Electronics Engineers,2334,1
"Industrial, Mechanical and Production Engineers",2335,0
Mining Engineers,2336,0
Other Engineering Professionals,2339,1
Natural and Physical Science Professionals,2340,0
Agricultural and Forestry Scientists,2341,0
"Chemists, and Food and Wine Scientists",2342,1
Environmental Scientists,2343,0
"Geologists, Geophysicists and Hydrogeologists",2344,0
Life Scientists,2345,1
Medical Laboratory Scientists,2346,1
Veterinarians,2347,1
Other Natural and Physical Science Professionals,2349,0
Education Professionals,2400,1
School Teachers,2410,1
Early Childhood (Pre-primary School) Teachers,2411,1
Primary School Teachers,2412,1
Middle School Teachers (Aus) / Intermediate School Teachers (NZ),2413,1
Secondary School Teachers,2414,1
Special Education Teachers,2415,1
Tertiary Education Teachers,2420,1
University Lecturers and Tutors,2421,1
Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),2422,1
Miscellaneous Education Professionals,2490,1
Education Advisers and Reviewers,2491,1
Private Tutors and Teachers,2492,0
Teachers of English to Speakers of Other Languages,2493,1
Health Professionals,2500,1
Health Diagnostic and Promotion Professionals,2510,1
Nutrition Professionals,2511,1
Medical Imaging Professionals,2512,1
Occupational and Environmental Health Professionals,2513,0
Optometrists and Orthoptists,2514,1
Pharmacists,2515,1
Other Health Diagnostic and Promotion Professionals,2519,0
Health Therapy Professionals,2520,1
Chiropractors and Osteopaths,2521,0
Complementary Health Therapists,2522,0
Dental Practitioners,2523,1
Occupational Therapists,2524,0
Physiotherapists,2525,0
Podiatrists,2526,1
Audiologists and Speech Pathologists \ Therapists,2527,1
Audiologists and Speech Pathologists \ Therapists  ,2527,1
Medical Practitioners,2530,1
General Practitioners and Resident Medical Officers,2531,1
Anaesthetists,2532,1
Specialist Physicians,2533,1
Psychiatrists,2534,1
Surgeons,2535,1
Other Medical Practitioners,2539,1
Midwifery and Nursing Professionals,2540,1
Midwives,2541,1
